dataset,representation,embedding_tag,objective,pair_condition,N,run,seed,train_examples,train_pairs,val_pairs,epochs_trained,general_pair_accuracy,same_image_accuracy,mse,mae,pearson,spearman,kendall_c,rating_mode,test_examples,general_test_pairs,same_image_test_pairs
FlickrExpert,vilbert,vilbert,hinge,different_image,0.2,1,0,3693,739,162,47,0.8578811369509044,0.8413978494623656,20.72174072265625,3.650761604309082,0.7339205513587785,0.6592479831092436,0.5340214053098562,rounded_mean,1161,5805,1488
FlickrExpert,vilbert,vilbert,bradley_terry,different_image,0.2,1,0,3693,739,162,22,0.8611541774332472,0.8360215053763441,12.866988182067871,2.993204355239868,0.7299973498284089,0.6580013746449812,0.5323556301395507,rounded_mean,1161,5805,1488
FlickrExpert,vilbert,vilbert,hinge,different_image,0.2,2,1,3693,739,162,21,0.8532299741602067,0.8299731182795699,8.14840030670166,2.364586591720581,0.7158844668159503,0.6406141677968686,0.5161449867363641,rounded_mean,1161,5805,1488
FlickrExpert,vilbert,vilbert,bradley_terry,different_image,0.2,2,1,3693,739,162,21,0.8511627906976744,0.8205645161290323,6.61506986618042,2.0299768447875977,0.7244783822854828,0.6417521403971018,0.5177672380898682,rounded_mean,1161,5805,1488
FlickrExpert,vilbert,vilbert,hinge,different_image,0.2,3,2,3693,739,162,21,0.8606373815676142,0.8299731182795699,5.510915279388428,1.7282938957214355,0.7136376240141544,0.6531391500924384,0.5286838026857658,rounded_mean,1161,5805,1488
FlickrExpert,vilbert,vilbert,bradley_terry,different_image,0.2,3,2,3693,739,162,21,0.8699397071490095,0.8313172043010753,8.785343170166016,2.335404396057129,0.7226069918056623,0.6645363238905471,0.5375191374964359,rounded_mean,1161,5805,1488
FlickrExpert,vilbert,vilbert,hinge,different_image,0.2,4,3,3693,739,162,30,0.8435831180017227,0.801747311827957,23.261930465698242,3.6544971466064453,0.721053176818863,0.6230309081632313,0.5028266987951568,rounded_mean,1161,5805,1488
FlickrExpert,vilbert,vilbert,bradley_terry,different_image,0.2,4,3,3693,739,162,24,0.8513350559862187,0.8071236559139785,14.935401916503906,3.1767094135284424,0.7266442608920443,0.631100456134255,0.5095728903993632,rounded_mean,1161,5805,1488
FlickrExpert,vilbert,vilbert,hinge,different_image,0.2,5,4,3693,739,162,19,0.8587424633936261,0.8333333333333334,7.176990032196045,2.2702817916870117,0.704717019540297,0.6414390683933605,0.5159985884434869,rounded_mean,1161,5805,1488
FlickrExpert,vilbert,vilbert,bradley_terry,different_image,0.2,5,4,3693,739,162,19,0.8671834625322997,0.8373655913978495,11.998661041259766,2.8259339332580566,0.7393255677623074,0.6541824191765981,0.5303258375923614,rounded_mean,1161,5805,1488
FlickrExpert,vilbert,vilbert,hinge,different_image,0.2,6,5,3693,739,162,21,0.8637381567614125,0.8353494623655914,9.625130653381348,2.64290714263916,0.7466728348426908,0.655763587572068,0.5323912405351154,rounded_mean,1161,5805,1488
FlickrExpert,vilbert,vilbert,bradley_terry,different_image,0.2,6,5,3693,739,162,22,0.8649440137812231,0.823252688172043,10.847477912902832,2.78226900100708,0.7243733025723031,0.6488903390637759,0.5255184341911234,rounded_mean,1161,5805,1488
FlickrExpert,vilbert,vilbert,hinge,different_image,0.2,7,6,3693,739,162,18,0.8158484065460809,0.7896505376344086,5.765120506286621,1.8674641847610474,0.6699713022360925,0.5647946913769063,0.45313832685051025,rounded_mean,1161,5805,1488
