dataset,representation,embedding_tag,objective,pair_condition,N,run,seed,train_examples,train_pairs,val_pairs,epochs_trained,general_pair_accuracy,same_image_accuracy,mse,mae,pearson,spearman,kendall_c,rating_mode,test_examples,general_test_pairs,same_image_test_pairs
FlickrExpert,clip-vit-b32,openai-clip-vit-base-patch32,hinge,different_image,1.0,6,5,3693,3693,810,26,0.8234280792420328,0.7956989247311828,7.8467116355896,2.3791089057922363,0.6374761259910002,0.5783115061283721,0.460517592153645,rounded_mean,1161,5805,1488
FlickrExpert,clip-vit-b32,openai-clip-vit-base-patch32,bradley_terry,different_image,1.0,6,5,3693,3693,810,17,0.8130921619293713,0.7936827956989247,5.13858699798584,1.8810713291168213,0.6231432177328884,0.5730341981388847,0.45424224911301675,rounded_mean,1161,5805,1488
FlickrExpert,clip-vit-b32,openai-clip-vit-base-patch32,hinge,different_image,1.0,7,6,3693,3693,810,17,0.8132644272179156,0.7856182795698925,3.085794687271118,1.514778733253479,0.6179598731901308,0.5655120080476944,0.44962081111083907,rounded_mean,1161,5805,1488
FlickrExpert,clip-vit-b32,openai-clip-vit-base-patch32,bradley_terry,different_image,1.0,7,6,3693,3693,810,17,0.8179155900086132,0.7869623655913979,6.170907974243164,2.11503529548645,0.6213837532053219,0.5700292616292706,0.4537278767326374,rounded_mean,1161,5805,1488
FlickrExpert,clip-vit-b32,openai-clip-vit-base-patch32,hinge,different_image,1.0,8,7,3693,3693,810,18,0.8239448751076658,0.7567204301075269,7.7726359367370605,2.483271360397339,0.6271483739626547,0.5881627265092059,0.4692540091988576,rounded_mean,1161,5805,1488
FlickrExpert,clip-vit-b32,openai-clip-vit-base-patch32,bradley_terry,different_image,1.0,8,7,3693,3693,810,17,0.8280792420327304,0.7755376344086021,9.987907409667969,2.768850564956665,0.6254418572320901,0.5879988838182707,0.4672756538897062,rounded_mean,1161,5805,1488
FlickrExpert,clip-vit-b32,openai-clip-vit-base-patch32,hinge,different_image,1.0,9,8,3693,3693,810,18,0.8187769164513351,0.769489247311828,3.4065301418304443,1.5802228450775146,0.6188738713467075,0.5751261601017423,0.45687346167418813,rounded_mean,1161,5805,1488
FlickrExpert,clip-vit-b32,openai-clip-vit-base-patch32,bradley_terry,different_image,1.0,9,8,3693,3693,810,18,0.8232558139534883,0.7862903225806451,6.714440822601318,2.2271227836608887,0.6285933443416525,0.5869034933914783,0.4654793072689967,rounded_mean,1161,5805,1488
FlickrExpert,clip-vit-b32,openai-clip-vit-base-patch32,hinge,different_image,1.0,10,9,3693,3693,810,22,0.8201550387596899,0.7896505376344086,7.360415458679199,2.3555729389190674,0.6323406994858374,0.5777881860261056,0.46119814637999307,rounded_mean,1161,5805,1488
FlickrExpert,clip-vit-b32,openai-clip-vit-base-patch32,bradley_terry,different_image,1.0,10,9,3693,3693,810,17,0.8189491817398794,0.7620967741935484,6.090296745300293,2.084832191467285,0.614837769947151,0.5754445897561857,0.4562997386345342,rounded_mean,1161,5805,1488
FlickrExpert,clip-vit-b32,openai-clip-vit-base-patch32,hinge,different_image,2.0,1,0,3693,7386,1620,18,0.8270456503014643,0.7788978494623656,5.000598907470703,1.8968313932418823,0.644557945578967,0.5900955155359376,0.4712244510867724,rounded_mean,1161,5805,1488
FlickrExpert,clip-vit-b32,openai-clip-vit-base-patch32,bradley_terry,different_image,2.0,1,0,3693,7386,1620,16,0.8285960378983634,0.7842741935483871,4.253509044647217,1.7418187856674194,0.6511005121089966,0.5944307236429587,0.4731078453410845,rounded_mean,1161,5805,1488
FlickrExpert,clip-vit-b32,openai-clip-vit-base-patch32,hinge,different_image,2.0,2,1,3693,7386,1620,17,0.8304909560723515,0.7688172043010753,4.192599296569824,1.756792664527893,0.6280734412284681,0.5977298547055689,0.4747261399839704,rounded_mean,1161,5805,1488
FlickrExpert,clip-vit-b32,openai-clip-vit-base-patch32,bradley_terry,different_image,2.0,2,1,3693,7386,1620,16,0.8173987941429802,0.7688172043010753,3.920661211013794,1.6304688453674316,0.6110088331663164,0.5786631443979903,0.45890325422137745,rounded_mean,1161,5805,1488
